run,lr,wd,channels_variant,n_fft,val_accuracy,val_loss
grid_01_lr=0.0005_wd=1e-05_v=small_nfft=400,0.0005,1e-05,small,400,0.4618775673780182,1.8002598509976266
grid_02_lr=0.0005_wd=1e-05_v=small_nfft=512,0.0005,1e-05,small,512,0.37962128043282234,2.043759589347652
grid_03_lr=0.0005_wd=1e-05_v=small_nfft=640,0.0005,1e-05,small,640,0.4775072638012223,1.7472314313613941
grid_04_lr=0.0005_wd=1e-05_v=large_nfft=400,0.0005,1e-05,large,400,0.5294058711551949,1.5756787859166914
grid_05_lr=0.0005_wd=1e-05_v=large_nfft=512,0.0005,1e-05,large,512,0.43232141068029256,1.969644726570832
grid_06_lr=0.0005_wd=1e-05_v=large_nfft=640,0.0005,1e-05,large,640,0.47420098186554455,1.8138948066620846
grid_07_lr=0.0005_wd=0.0001_v=small_nfft=400,0.0005,0.0001,small,400,0.4662859432922553,1.7804009324383274
grid_08_lr=0.0005_wd=0.0001_v=small_nfft=512,0.0005,0.0001,small,512,0.3819256587516281,2.0383003922768124
grid_09_lr=0.0005_wd=0.0001_v=small_nfft=640,0.0005,0.0001,small,640,0.49193467588417994,1.7123839901535345
grid_10_lr=0.0005_wd=0.0001_v=large_nfft=400,0.0005,0.0001,large,400,0.5054603747119527,1.6608268888808124
grid_11_lr=0.0005_wd=0.0001_v=large_nfft=512,0.0005,0.0001,large,512,0.5283037771766356,1.6056115394627064
grid_12_lr=0.0005_wd=0.0001_v=large_nfft=640,0.0005,0.0001,large,640,0.4548642420599138,1.8957369506938366
grid_13_lr=0.001_wd=1e-05_v=small_nfft=400,0.001,1e-05,small,400,0.6162709147380022,1.3291112601476374
grid_14_lr=0.001_wd=1e-05_v=small_nfft=512,0.001,1e-05,small,512,0.5341148181544936,1.5860578471822904
grid_15_lr=0.001_wd=1e-05_v=small_nfft=640,0.001,1e-05,small,640,0.4755034565674782,1.7858247536717622
grid_16_lr=0.001_wd=1e-05_v=large_nfft=400,0.001,1e-05,large,400,0.5778980062118024,1.4792336385912486
grid_17_lr=0.001_wd=1e-05_v=large_nfft=512,0.001,1e-05,large,512,0.5478408977056407,1.5530533182419155
grid_18_lr=0.001_wd=1e-05_v=large_nfft=640,0.001,1e-05,large,640,0.5988377918044284,1.43399542972017
grid_19_lr=0.001_wd=0.0001_v=small_nfft=400,0.001,0.0001,small,400,0.6479310690311592,1.2569229348414575
grid_20_lr=0.001_wd=0.0001_v=small_nfft=512,0.001,0.0001,small,512,0.613766155695822,1.308757713664905
grid_21_lr=0.001_wd=0.0001_v=small_nfft=640,0.001,0.0001,small,640,0.4718966035467388,1.847780570586403
grid_22_lr=0.001_wd=0.0001_v=large_nfft=400,0.001,0.0001,large,400,0.5469391844504559,1.5838935216841197
grid_23_lr=0.001_wd=0.0001_v=large_nfft=512,0.001,0.0001,large,512,0.5360184350265504,1.6324988827893137
grid_24_lr=0.001_wd=0.0001_v=large_nfft=640,0.001,0.0001,large,640,0.6008415990381726,1.4253456404089462
grid_25_lr=0.002_wd=1e-05_v=small_nfft=400,0.002,1e-05,small,400,0.6920148281735297,1.07209448647898
grid_26_lr=0.002_wd=1e-05_v=small_nfft=512,0.002,1e-05,small,512,0.7500250475904218,0.881416349011616
grid_27_lr=0.002_wd=1e-05_v=small_nfft=640,0.002,1e-05,small,640,0.7526299969942891,0.8576754713127744
grid_28_lr=0.002_wd=1e-05_v=large_nfft=400,0.002,1e-05,large,400,0.7557358982065925,0.8357947784606709
grid_29_lr=0.002_wd=1e-05_v=large_nfft=512,0.002,1e-05,large,512,0.7612463680993888,0.83229872589419
grid_30_lr=0.002_wd=1e-05_v=large_nfft=640,0.002,1e-05,large,640,0.7670574090772467,0.8196457380188358
grid_31_lr=0.002_wd=0.0001_v=small_nfft=400,0.002,0.0001,small,400,0.6572487726680694,1.2080571622555176
grid_32_lr=0.002_wd=0.0001_v=small_nfft=512,0.002,0.0001,small,512,0.7473199078248672,0.8788668262720849
grid_33_lr=0.002_wd=0.0001_v=small_nfft=640,0.002,0.0001,small,640,0.7303877366997295,0.9453197694615436
grid_34_lr=0.002_wd=0.0001_v=large_nfft=400,0.002,0.0001,large,400,0.7767758741609058,0.795226186887139
grid_35_lr=0.002_wd=0.0001_v=large_nfft=512,0.002,0.0001,large,512,0.737000300571085,0.910919964570295
grid_36_lr=0.002_wd=0.0001_v=large_nfft=640,0.002,0.0001,large,640,0.7548341849514076,0.842805569294447
